,postalCode,Gemeente,Province
0,code,,
1,1000,Brussel,Brussel
3,1030,Schaarbeek,Brussel
5,1040,Etterbeek,Brussel
6,1050,Elsene,Brussel
8,1060,Saint-Gilles,Brussel
10,1070,Anderlecht,Brussel
11,1080,Molenbeek-Saint-Jean,Brussel
13,1081,Koekelberg,Brussel
14,1082,Berchem-Sainte-Agathe,Brussel
16,1083,Ganshoren,Brussel
17,1090,Jette,Brussel
18,1140,Evere,Brussel
19,1150,Sint-Pieters-Woluwe,Brussel
21,1160,Auderghem,Brussel
23,1170,Watermaal-Bosvoorde,Brussel
25,1180,Uccle,Brussel
27,1190,Forest,Brussel
29,1200,Sint-Lambrechts-Woluwe,Brussel
31,1210,Saint-Josse-ten-Noode,Brussel
33,1300,Wavre,Brabant wallon
35,1310,La Hulpe,Brabant wallon
37,1315,Incourt,Brabant wallon
38,1320,Beauvechain,Brabant wallon
40,1325,Chaumont-Gistoux,Brabant wallon
41,1330,Rixensart,Brabant wallon
42,1340,Ottignies-Louvain-la-Neuve,Brabant wallon
43,1350,Orp-Jauche,Brabant wallon
44,1357,Hélécine,Brabant wallon
45,1360,Perwez,Brabant wallon
47,1367,Ramillies,Brabant wallon
48,1370,Jodoigne,Brabant wallon
50,1380,Lasne,Brabant wallon
51,1390,Grez-Doiceau,Brabant wallon
53,1400,Nivelles,Brabant wallon
55,1410,Waterloo,Brabant wallon
56,1420,Braine-l'Alleud,Brabant wallon
58,1430,Rebecq,Brabant wallon
59,1435,Mont-Saint-Guibert,Brabant wallon
60,1440,Braine-le-Château,Brabant wallon
62,1450,Chastre,Brabant wallon
63,1457,Walhain,Brabant wallon
64,1460,Ittre,Brabant wallon
66,1470,Genappe,Brabant wallon
68,1480,Tubize,Brabant wallon
70,1490,Court-Saint-Étienne,Brabant wallon
71,1495,Villers-la-Ville,Brabant wallon
72,1500,Halle,Vlaams-Brabant
74,1540,Herne,Vlaams-Brabant
75,1547,Bever,Vlaams-Brabant
77,1560,Hoeilaart,Vlaams-Brabant
78,1570,Galmaarden,Vlaams-Brabant
80,1600,Sint-Pieters-Leeuw,Vlaams-Brabant
81,1620,Drogenbos,Vlaams-Brabant
82,1630,Linkebeek,Vlaams-Brabant
83,1640,Sint-Genesius-Rode,Vlaams-Brabant
85,1650,Beersel,Vlaams-Brabant
86,1670,Pepingen,Vlaams-Brabant
87,1700,Dilbeek,Vlaams-Brabant
88,1730,Asse,Vlaams-Brabant
89,1740,Ternat,Vlaams-Brabant
90,1745,Opwijk,Vlaams-Brabant
91,1750,Lennik,Vlaams-Brabant
92,1755,Gooik,Vlaams-Brabant
93,1760,Roosdaal,Vlaams-Brabant
94,1770,Liedekerke,Vlaams-Brabant
95,1780,Wemmel,Vlaams-Brabant
96,1785,Merchtem,Vlaams-Brabant
97,1790,Affligem,Vlaams-Brabant
98,1800,Vilvoorde,Vlaams-Brabant
100,1820,Steenokkerzeel,Vlaams-Brabant
101,1830,Machelen,Vlaams-Brabant
102,1840,Londerzeel,Vlaams-Brabant
103,1850,Grimbergen,Vlaams-Brabant
104,1860,Meise,Vlaams-Brabant
105,1880,Kapelle-op-den-Bos,Vlaams-Brabant
106,1910,Kampenhout,Vlaams-Brabant
107,1930,Zaventem,Vlaams-Brabant
108,1950,Kraainem,Vlaams-Brabant
109,1970,Wezembeek-Oppem,Vlaams-Brabant
110,1980,Zemst,Vlaams-Brabant
111,2000,Antwerpen,Antwerpen
113,2018,Antwerpen,Antwerpen
115,2020,Antwerpen,Antwerpen
117,2030,Antwerpen,Antwerpen
119,2040,Antwerpen,Antwerpen
121,2050,Antwerpen,Antwerpen
123,2060,Antwerpen,Antwerpen
125,2070,Zwijndrecht,Antwerpen
126,2100,Antwerpen,Antwerpen
128,2110,Wijnegem,Antwerpen
129,2140,Antwerpen,Antwerpen
131,2150,Borsbeek,Antwerpen
132,2160,Wommelgem,Antwerpen
133,2170,Antwerpen,Antwerpen
135,2180,Antwerpen,Antwerpen
137,2200,Herentals,Antwerpen
138,2220,Heist-op-den-Berg,Antwerpen
139,2230,Herselt,Antwerpen
140,2235,Hulshout,Antwerpen
141,2240,Zandhoven,Antwerpen
142,2250,Olen,Antwerpen
143,2260,Westerlo,Antwerpen
144,2270,Herenthout,Antwerpen
145,2275,Lille,Antwerpen
146,2280,Grobbendonk,Antwerpen
147,2290,Vorselaar,Antwerpen
148,2300,Turnhout,Antwerpen
149,2310,Rijkevorsel,Antwerpen
150,2320,Hoogstraten,Antwerpen
151,2330,Merksplas,Antwerpen
152,2340,Beerse,Antwerpen
153,2350,Vosselaar,Antwerpen
154,2360,Oud-Turnhout,Antwerpen
155,2370,Arendonk,Antwerpen
156,2380,Ravels,Antwerpen
157,2387,Baarle-Hertog,Antwerpen
159,2390,Malle,Antwerpen
160,2400,Mol,Antwerpen
161,2430,Laakdal,Antwerpen
162,2440,Geel,Antwerpen
163,2450,Meerhout,Antwerpen
164,2460,Kasterlee,Antwerpen
165,2470,Retie,Antwerpen
166,2480,Dessel,Antwerpen
167,2490,Balen,Antwerpen
168,2500,Lier,Antwerpen
170,2520,Ranst,Antwerpen
171,2530,Boechout,Antwerpen
172,2540,Hove,Antwerpen
173,2547,Lint,Antwerpen
174,2550,Kontich,Antwerpen
175,2560,Nijlen,Antwerpen
176,2570,Duffel,Antwerpen
177,2580,Putte,Antwerpen
178,2590,Berlaar,Antwerpen
179,2600,Antwerpen,Antwerpen
181,2610,Antwerpen,Antwerpen
183,2620,Hemiksem,Antwerpen
184,2627,Schelle,Antwerpen
185,2630,Aartselaar,Antwerpen
186,2640,Mortsel,Antwerpen
187,2650,Edegem,Antwerpen
188,2660,Antwerpen,Antwerpen
190,2800,Mechelen,Antwerpen
192,2820,Bonheiden,Antwerpen
193,2830,Willebroek,Antwerpen
194,2840,Rumst,Antwerpen
195,2845,Niel,Antwerpen
196,2850,Boom,Antwerpen
197,2860,Sint-Katelijne-Waver,Antwerpen
198,2870,Puurs-Sint-Amands,Antwerpen
199,2880,Bornem,Antwerpen
200,2900,Schoten,Antwerpen
201,2910,Essen,Antwerpen
202,2920,Kalmthout,Antwerpen
203,2930,Brasschaat,Antwerpen
204,2940,Stabroek,Antwerpen
205,2950,Kapellen,Antwerpen
206,2960,Brecht,Antwerpen
207,2970,Schilde,Antwerpen
208,2980,Zoersel,Antwerpen
209,2990,Wuustwezel,Antwerpen
210,3000,Leuven,Vlaams-Brabant
212,3020,Herent,Vlaams-Brabant
213,3040,Huldenberg,Vlaams-Brabant
214,3050,Oud-Heverlee,Vlaams-Brabant
215,3060,Bertem,Vlaams-Brabant
216,3070,Kortenberg,Vlaams-Brabant
217,3080,Tervuren,Vlaams-Brabant
218,3090,Overijse,Vlaams-Brabant
219,3110,Rotselaar,Vlaams-Brabant
220,3120,Tremelo,Vlaams-Brabant
221,3130,Begijnendijk,Vlaams-Brabant
222,3140,Keerbergen,Vlaams-Brabant
223,3150,Haacht,Vlaams-Brabant
224,3190,Boortmeerbeek,Vlaams-Brabant
225,3200,Aarschot,Vlaams-Brabant
226,3210,Lubbeek,Vlaams-Brabant
227,3220,Holsbeek,Vlaams-Brabant
228,3270,Scherpenheuvel-Zichem,Vlaams-Brabant
230,3290,Diest,Vlaams-Brabant
231,3300,Tienen,Vlaams-Brabant
233,3320,Hoegaarden,Vlaams-Brabant
234,3350,Linter,Vlaams-Brabant
235,3360,Bierbeek,Vlaams-Brabant
236,3370,Boutersem,Vlaams-Brabant
237,3380,Glabbeek,Vlaams-Brabant
238,3390,Tielt-Winge,Vlaams-Brabant
239,3400,Landen,Vlaams-Brabant
240,3440,Zoutleeuw,Vlaams-Brabant
242,3450,Geetbets,Vlaams-Brabant
243,3460,Bekkevoort,Vlaams-Brabant
244,3470,Kortenaken,Vlaams-Brabant
245,3500,Hasselt,Limburg
246,3520,Zonhoven,Limburg
247,3530,Houthalen-Helchteren,Limburg
248,3540,Herk-de-Stad,Limburg
250,3545,Halen,Limburg
251,3550,Heusden-Zolder,Limburg
252,3560,Lummen,Limburg
253,3570,Alken,Limburg
254,3580,Beringen,Limburg
255,3590,Diepenbeek,Limburg
256,3600,Genk,Limburg
257,3620,Lanaken,Limburg
258,3630,Maasmechelen,Limburg
259,3640,Kinrooi,Limburg
260,3650,Dilsen-Stokkem,Limburg
261,3660,Oudsbergen,Limburg
262,3665,As,Limburg
263,3680,Maaseik,Limburg
264,3690,Zutendaal,Limburg
265,3700,Tongeren,Limburg
267,3717,Herstappe,Limburg
268,3720,Kortessem,Limburg
269,3730,Hoeselt,Limburg
270,3740,Bilzen,Limburg
271,3770,Riemst,Limburg
272,3790,Voeren,Limburg
274,3800,Sint-Truiden,Limburg
276,3830,Wellen,Limburg
277,3840,Borgloon,Limburg
279,3850,Nieuwerkerken,Limburg
280,3870,Heers,Limburg
281,3890,Gingelom,Limburg
282,3900,Pelt,Limburg
283,3920,Lommel,Limburg
284,3930,Hamont-Achel,Limburg
285,3940,Hechtel-Eksel,Limburg
286,3945,Ham,Limburg
287,3950,Bocholt,Limburg
288,3960,Bree,Limburg
289,3970,Leopoldsburg,Limburg
291,3980,Tessenderlo,Limburg
292,3990,Peer,Limburg
293,4000,Liège,Liège
295,4040,Herstal,Liège
296,4050,Chaudfontaine,Liège
297,4100,Seraing,Liège
298,4120,Neupré,Liège
299,4130,Esneux,Liège
300,4140,Sprimont,Liège
301,4160,Anthisnes,Liège
302,4170,Comblain-au-Pont,Liège
303,4180,Hamoir,Liège
304,4190,Ferrières,Liège
305,4210,Burdinne,Liège
306,4217,Héron,Liège
307,4219,Wasseiges,Liège
308,4250,Geer,Liège
309,4257,Berloz,Liège
310,4260,Braives,Liège
311,4280,Hannut,Liège
313,4287,Lincent,Liège
315,4300,Waremme,Liège
317,4317,Faimes,Liège
318,4340,Awans,Liège
319,4347,Fexhe-le-Haut-Clocher,Liège
320,4350,Remicourt,Liège
321,4357,Donceel,Liège
322,4360,Oreye,Liège
324,4367,Crisnée,Liège
325,4400,Flémalle,Liège
326,4420,Saint-Nicolas,Liège
328,4430,Ans,Liège
329,4450,Juprelle,Liège
330,4460,Grâce-Hollogne,Liège
331,4470,Saint-Georges-sur-Meuse,Liège
332,4480,Engis,Liège
333,4500,Huy,Liège
335,4520,Wanze,Liège
336,4530,Villers-le-Bouillet,Liège
337,4537,Verlaine,Liège
338,4540,Amay,Liège
339,4550,Nandrin,Liège
340,4557,Tinlot,Liège
341,4560,Clavier,Liège
342,4570,Marchin,Liège
343,4577,Modave,Liège
344,4590,Ouffet,Liège
345,4600,Visé,Liège
347,4607,Dalhem,Liège
348,4610,Beyne-Heusay,Liège
349,4620,Fléron,Liège
350,4630,Soumagne,Liège
351,4650,Herve,Liège
352,4670,Blégny,Liège
353,4680,Oupeye,Liège
354,4690,Bassenge,Liège
356,4700,Eupen,Liège
357,4710,Lontzen,Liège
358,4720,Kelmis,Liège
360,4730,Raeren,Liège
361,4750,Bütgenbach,Liège
363,4760,Büllingen,Liège
365,4770,Amel,Liège
367,4780,Sankt Vith,Liège
369,4790,Burg-Reuland,Liège
370,4800,Verviers,Liège
371,4820,Dison,Liège
372,4830,Limbourg,Liège
374,4837,Baelen,Liège
376,4840,Welkenraedt,Liège
378,4845,Jalhay,Liège
379,4850,Plombières,Liège
381,4860,Pepinster,Liège
382,4870,Trooz,Liège
383,4877,Olne,Liège
384,4880,Aubel,Liège
385,4890,Thimister-Clermont,Liège
386,4900,Spa,Liège
387,4910,Theux,Liège
388,4920,Aywaille,Liège
389,4950,Waimes,Liège
391,4960,Malmedy,Liège
392,4970,Stavelot,Liège
393,4980,Trois-Ponts,Liège
394,4987,Stoumont,Liège
395,4990,Lierneux,Liège
396,5000,Namur,Namur
398,5030,Gembloux,Namur
400,5060,Sambreville,Namur
401,5070,Fosses-la-Ville,Namur
402,5080,La Bruyère,Namur
403,5140,Sombreffe,Namur
404,5150,Floreffe,Namur
405,5170,Profondeville,Namur
406,5190,Jemeppe-sur-Sambre,Namur
407,5300,Andenne,Namur
408,5310,Éghezée,Namur
409,5330,Assesse,Namur
410,5340,Gesves,Namur
411,5350,Ohey,Namur
412,5360,Hamois,Namur
413,5370,Havelange,Namur
414,5377,Somme-Leuze,Namur
415,5380,Fernelmont,Namur
416,5500,Dinant,Namur
417,5520,Onhaye,Namur
418,5530,Yvoir,Namur
419,5537,Anhée,Namur
420,5540,Hastière,Namur
